ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
CRA + OZ,3200 NW 79 ST,193510,STORE : RETAIL OUTLET,WALMART STORES EAST LP,AR
CRA + OZ,3022 NW 73 ST,144330,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,TERRENO 73RD STREET LLC,CA
CRA + OZ,2640 NW 79 ST,142506,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,7755 NW 27TH AVENUE FL,IL
CRA + OZ,7705 NW 22 AVE,139018,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,THE CORINTHIAN APARTMENTS LTD,FL
CRA + OZ,7455 NW 22 AVE,149802,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,SCOTT CARVER IIB LTD PARTNERSHIP,MO
CRA + OZ,1905 NW 74 STREET TER,133901,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,SCOTT CARVER IIB LTD PARTNERSHIP,MO
CRA + OZ,1250 NW 79 ST,243564,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,1320 NW 79TH STREET FL OWNER,IL
CRA + OZ,1156 NW 79 ST,162923,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,SUNSET POINTE ASSOCIATES LTD,FL
CRA + OZ,2401 NW 69 ST,192866,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,RLF I C SPE LLC,FL
CRA + OZ,17650 CLEVELAND AVE,164639,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,PALMETTO BAY STORAGE,FL
CRA + OZ,9910 HIBISCUS ST,134794,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,HTG MERRICK LTD,FL
CRA + OZ,4310 NW 215 ST,287958,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MG EAST LLC,IL
CRA + OZ,4350 NW 215 ST,287958,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MG EAST LLC,IL
CRA + OZ,21201 NW 43 AVE,536184,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MG EAST LLC,IL
CRA + OZ,21451 NW 47 AVE,1593553,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MG WESTSIDE LLC,FL
CRA + OZ,18900 NW 27 AVE,292626,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,18800 NW 27TH AVENUE OWNER LLC,IL
CRA + OZ,18700 NW 27 AVE,338467,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,18740 NW 27TH AVENUE OWNER LLC,IL
CRA + OZ,18224 NW 27 AVE,434146,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,GARDENS AND 27 LLC,FL
CRA Only,915 NW 1 AVE,639456,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PARK PLACE ASSOC LLC,FL
CRA Only,50 NE 9 ST,790173,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,VERIZON DATA CENTERS V LLC,FL
CRA Only,601 NE 1 AVE,125007,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,SIXTH STREET MIAMI PARTNERS LLC,FL
CRA Only,25 NE 5 ST,1544491,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,5 PLAZA LLC,FL
CRA Only,2115 N MIAMI AVE,336644,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,PRH N MIAMI LLC,FL
CRA Only,2150 N MIAMI AVE,303688,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,PRH N MIAMI LLC,FL
CRA Only,318 NW 23 ST,155237,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MANNIGAN HOLDINGS LLC,NJ
CRA Only,3101 NE 1 AVE,869370,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MIAMI MIDTOWN VI OWNER LLC,IL
CRA Only,125 NE 32 ST,701056,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,SE MIDTOWN 5 LLC,NY
CRA Only,3401 N MIAMI AVE,763761,REGIONAL SHOPPING CENTER : COMMERCIAL - TOTAL VALUE,CCB ASSOCIATES 39 LLC,FL
CRA Only,50 NE 32 ST,324208,PARKING LOT/MOBILE HOME PARK : PARKING LOT,MIDTOWN MIAMI COMMUNITY DEV,FL
CRA Only,50 NE 32 ST,324208,STORE : COMMERCIAL - TOTAL VALUE,CCB ASSOCIATES 39 LLC,FL
CRA Only,50 NE 32 ST,324208,STORE : COMMERCIAL - TOTAL VALUE,CCB ASSOCIATES 39 LLC,FL
CRA Only,2035 N MIAMI AVE,178429,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,WYNWOOD WORKS LLC,FL
CRA Only,1424 NE MIAMI PL,1262330,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,14 PLAZA CORP,FL
CRA Only,58 NE 14 ST,990766,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,ART PLAZA LLC,FL
CRA Only,1100 BISCAYNE BLVD,401445,HOTEL OR MOTEL : HOTEL,1100 BISCAYNE PROPCO LLC,NY
CRA Only,850 NE 2 AVE,510504,STORE : RETAIL OUTLET,MWC RETAIL LLC,FL
CRA Only,850 NE 2 AVE,510504,STORE : RETAIL OUTLET,MWC RETAIL LLC,FL
CRA Only,888 NE 2 AVE,510504,PARKING LOT/MOBILE HOME PARK : PARKING LOT,"MWC GARAGE, LLC",FL
CRA Only,700 NE 2 AVE,132618,HOTEL OR MOTEL : HOTEL,OSIB MIAMI WORLDCENTER,NY
CRA Only,650 NE 2 AVE,1014031,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,ZM MWC OWNER LLC,FL
CRA Only,651 NE 1 AVE,389835,PARKING LOT/MOBILE HOME PARK : PARKING LOT,MWC GARAGE H LLC,FL
CRA Only,651 NE 1 AVE,389835,PARKING LOT/MOBILE HOME PARK : PARKING LOT,MWC GARAGE H LLC,FL
CRA Only,698 NE 1 AVE,845870,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,"BLOCK G PHASE 1, LLC",CA
CRA Only,710 NE 1 AVE,907687,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,MWT 1 LLC,NY
