Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
180 NE 29 ST,Miami,MULTIFAMILY 10 UNITS PLUS,545562,1091,PPF AMLI 180 NE 29TH STREET LLC,IL,"Delinquent ($8,000)",OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.803628,-80.191838"
150 W FLAGLER ST,Miami,OFFICE BUILDING - MULTISTORY,545044,1090,BOF FL MUSEUM TOWER LLC,UT,"Delinquent ($8,000)",OZ: 36.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.773557,-80.197134"
21201 NW 43 AVE,Miami Gardens,WAREHOUSE TERMINAL OR STG,536184,1072,MG EAST LLC,IL,"Delinquent ($18,500)",CRA: Miami Gardens + OZ: 100.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.966465,-80.272709"
218 NW 8 ST,Miami,MULTIFAMILY 10 UNITS PLUS,516808,1033,AVANTI RESIDENTIAL ARTE,CO,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.781387,-80.19915"
9200 NW 11 AVE,Hialeah,HOSPITAL - PRIVATE,504970,1009,MPT OF MIAMI EXCHANGE LLC,AL,"Delinquent ($18,500)",OZ: 10.05,4/6,"https://www.google.com/maps/search/?api=1&query=25.859475,-80.214507"
7000 NW 32 AVE,Miami,WAREHOUSE TERMINAL OR STG,484824,969,CENTERPOINT PROPERTIES TRUST,IL,"Delinquent ($18,500)",OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.837234,-80.251638"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780118,-80.197029"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780126,-80.197024"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780443,-80.19723"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780595,-80.197797"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780612,-80.197781"
161 NW 6 ST,Miami,PARKING LOT/MOBILE HOME PARK,443631,887,B9 3MC OWNER LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.78063,-80.197781"
2377 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,433336,866,SB HOTEL OWNER LP,CT,"Delinquent ($9,050)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.799024,-80.126495"
19279 NW 27 AVE,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,420332,840,NEW POMELO LLC,IN,"Delinquent ($18,500)",CRA: Miami Gardens,4/6,"https://www.google.com/maps/search/?api=1&query=25.950236,-80.243337"
5405 NW 159 ST,Hialeah,MULTIFAMILY 10 UNITS PLUS,409355,818,5200 NW 158TH TERRACE FL,IL,"Delinquent ($19,550)",OZ: 5.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.916793,-80.285856"
1100 BISCAYNE BLVD,Miami,HOTEL OR MOTEL,401445,802,1100 BISCAYNE PROPCO LLC,NY,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.785174,-80.190079"
19507 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,387151,774,AVENTURA MALL VENTURE,MO,"Delinquent ($18,500)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.956929,-80.145071"
25370 SW 137 AVE,Homestead,MULTIFAMILY 10 UNITS PLUS,375167,750,25400 SW 137TH AVENUE FL OWNER,IL,"Delinquent ($18,500)",CRA: Naranja Expansion,4/6,"https://www.google.com/maps/search/?api=1&query=25.531632,-80.413302"
800 E MOWRY DR,Miami-Dade County,MULTIFAMILY 10 UNITS PLUS,374632,749,SPT DOLPHIN HOMESTEAD COLONY LLC,GA,"Delinquent ($8,000)",OZ: 111.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.468514,-80.466393"
1111 LINCOLN RD,Miami Beach,OFFICE BUILDING - MULTISTORY,370836,741,1111 LINCOLN LLC,CA,"Delinquent ($8,000)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.790732,-80.140562"
5601 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,370320,740,LIT INDUSTRIAL LP,TX,"Delinquent ($18,500)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.825634,-80.311909"
1545 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,346455,692,RP HOTEL HOLDINGS LLC,VA,"Delinquent ($8,000)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.788413,-80.129343"
20601 NW 17 AVE,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,341091,682,FAIRFIELD CEDAR GROVE LP,CA,"Delinquent ($18,500)",CRA: Miami Gardens,4/6,"https://www.google.com/maps/search/?api=1&query=25.962569,-80.232644"
18700 NW 27 AVE,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,338467,676,18740 NW 27TH AVENUE OWNER LLC,IL,"Delinquent ($8,000)",CRA: Miami Gardens + OZ: 100.11,4/6,"https://www.google.com/maps/search/?api=1&query=25.944287,-80.246813"
20950 NE 27 CT,Miami Gardens,PROFESSIONAL SERVICE BLDG,331091,662,MIAMI BEACH HEALTHCARE GROUP LTD,TN,"Delinquent ($8,000)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.969884,-80.147224"
